"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2021-01-25","0.31","0.0","0.0",,"50","43"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2021-01-26","0.75","0.0","0.0",,"50","42"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2021-01-27","0.53","0.0","0.0",,"61","41"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2021-01-28","0.03","0.0","0.0",,"48","29"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2021-01-29","0.00","0.0","0.0",,"46","22"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2021-01-30","0.01","0.0","0.0",,"45","24"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2021-01-31","0.73","0.0","0.0",,"40","35"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2021-02-01","0.01","0.0","0.0",,"46","35"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2021-02-02","0.00","0.0","0.0",,"45","32"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2021-02-03","0.00","0.0","0.0",,"52","27"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2021-02-04","0.00","0.0","0.0",,"49","20"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2021-02-05","0.09","0.0","0.0",,"57","40"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2021-02-06","0.49","0.2","0.0",,"53","24"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2021-02-07","0.19","0.0","0.0",,"54","33"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2021-02-08","0.00","0.0","0.0",,"55","26"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2021-02-09","0.00","0.0","0.0",,"67","45"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2021-02-10","0.00","0.0","0.0",,"59","45"
"USW00013881","CHARLOTTE DOUGLAS AIRPORT, NC US","2021-02-11","0.45","0.0","0.0",,"53","41"
